x_value,total_1,total_2
0,1000,1000
1,999,1003
2,1001,1007
3,995,1011
4,993,1008
5,988,1003
6,993,1005
7,990,1005
8,997,1011
9,1001,1017
10,1007,1018
11,1007,1018
12,1012,1020
13,1010,1024
14,1006,1029
15,1004,1024
16,1009,1021
17,1009,1021
18,1013,1026
19,1008,1029
20,1012,1034
21,1007,1030
22,1011,1028
23,1018,1032
24,1021,1032
25,1019,1027
26,1026,1022
27,1031,1027
28,1030,1032
29,1025,1030
30,1023,1026
31,1026,1027
32,1033,1031
33,1039,1033
34,1033,1034
35,1039,1039
36,1045,1040
37,1053,1043
38,1050,1039
39,1046,1044
40,1040,1047
41,1044,1043
42,1040,1047
43,1034,1051
44,1028,1047
45,1024,1051
46,1018,1051
47,1015,1049
48,1013,1045
49,1010,1047
50,1012,1051
51,1007,1048
52,1004,1053
53,1008,1059
54,1016,1061
55,1024,1064
56,1028,1062
57,1028,1058
58,1029,1062
59,1023,1068
60,1027,1073
61,1032,1068
62,1028,1063
63,1036,1064
64,1031,1065
65,1036,1060
66,1035,1059
67,1033,1058
68,1034,1062
69,1029,1065
70,1032,1061
71,1028,1059
72,1028,1054
73,1035,1059
74,1037,1065
75,1035,1068
76,1037,1065
77,1039,1069
78,1037,1066
79,1042,1067
80,1042,1065
81,1039,1070
82,1043,1066
83,1038,1071
84,1032,1068
85,1029,1067
86,1024,1065
87,1022,1062
88,1017,1068
89,1024,1070
90,1025,1073
91,1028,1069
92,1032,1070
93,1027,1073
94,1026,1077
95,1022,1073
96,1025,1070
97,1029,1073
98,1031,1077
99,1033,1081
100,1037,1077
101,1042,1072
102,1047,1077
103,1054,1081
104,1052,1076
105,1049,1074
106,1052,1078
107,1059,1075
108,1067,1080
109,1066,1077
110,1071,1080
111,1077,1080
112,1073,1085
113,1077,1080
114,1079,1077
115,1075,1076
116,1076,1077
117,1077,1073
118,1080,1073
119,1074,1072
120,1077,1078
121,1081,1083
122,1077,1086
123,1085,1085
124,1082,1085
125,1081,1083
126,1084,1079
127,1081,1077
128,1080,1077
129,1076,1080
130,1083,1077
131,1089,1072
132,1083,1073
133,1079,1071
134,1076,1068
135,1076,1071
136,1084,1077
137,1079,1074
138,1082,1077
139,1082,1072
140,1088,1071
141,1086,1073
142,1083,1069
143,1089,1071
144,1087,1067
145,1094,1069
146,1098,1075
147,1096,1075
148,1099,1072
149,1106,1067
150,1111,1066
151,1113,1062
152,1111,1068
153,1112,1073
154,1106,1071
155,1104,1071
156,1111,1071
157,1106,1073
158,1108,1072
159,1110,1072
160,1115,1067
161,1114,1073
162,1118,1068
163,1125,1074
164,1124,1078
165,1125,1076
166,1130,1079
167,1138,1082
168,1134,1087
169,1136,1090
170,1138,1096
171,1135,1094
172,1138,1098
173,1138,1101
174,1143,1102
175,1142,1107
176,1138,1112
177,1138,1113
178,1140,1119
179,1143,1118
180,1137,1122
181,1142,1124
182,1145,1119
183,1152,1125
184,1156,1125
185,1161,1122
186,1166,1120
187,1173,1119
188,1172,1125
189,1178,1128
190,1180,1125
191,1184,1127
192,1190,1130
193,1185,1125
194,1179,1128
195,1181,1130
196,1184,1134
197,1178,1129
198,1183,1124
199,1180,1122
200,1177,1123
201,1184,1121
202,1186,1122
203,1191,1119
204,1198,1122
205,1202,1123
206,1210,1127
207,1208,1132
208,1202,1129
209,1206,1133
210,1205,1130
211,1200,1133
212,1196,1128
213,1197,1130
214,1202,1126
215,1207,1131
216,1201,1131
217,1209,1135
218,1208,1136
219,1209,1141
220,1206,1141
221,1201,1138
222,1198,1136
223,1192,1138
224,1188,1134
225,1193,1138
226,1193,1136
227,1201,1139
228,1203,1144
229,1204,1144
230,1211,1147
231,1207,1147
232,1201,1143
233,1208,1144
234,1204,1144
235,1198,1140
236,1203,1145
237,1200,1150
238,1200,1152
239,1203,1152
240,1206,1149
241,1206,1153
242,1211,1158
243,1216,1155
244,1220,1158
245,1223,1164
246,1224,1163
247,1225,1164
248,1223,1166
249,1218,1171
250,1219,1168
251,1214,1171
252,1214,1175
253,1210,1176
254,1215,1181
255,1219,1182
256,1218,1181
257,1217,1185
258,1216,1180
259,1223,1185
260,1217,1186
261,1221,1192
262,1228,1194
263,1236,1196
264,1236,1200
265,1236,1200
266,1233,1206
267,1229,1205
268,1225,1200
269,1232,1197
270,1226,1193
271,1228,1196
272,1229,1194
273,1236,1198
274,1233,1203
275,1241,1208
276,1246,1211
277,1248,1212
278,1256,1218
279,1252,1224
280,1246,1225
281,1249,1223
282,1248,1225
283,1243,1223
284,1244,1220
285,1249,1217
286,1248,1221
287,1243,1223
288,1247,1228
289,1254,1228
290,1254,1225
291,1262,1222
292,1264,1217
293,1259,1217
294,1259,1219
295,1264,1221
296,1260,1218
297,1264,1216
298,1272,1213
299,1268,1211
300,1272,1209
301,1266,1209
302,1269,1205
303,1277,1209
304,1271,1209
305,1273,1215
306,1276,1214
307,1270,1219
308,1272,1219
309,1274,1221
310,1281,1223
311,1284,1226
312,1284,1227
313,1284,1226
314,1284,1225
315,1285,1228
316,1284,1224
317,1281,1225
318,1277,1221
319,1283,1226
320,1286,1226
321,1289,1221
322,1289,1223
323,1291,1229
324,1292,1225
325,1299,1231
326,1304,1235
327,1302,1234
328,1304,1234
329,1302,1230
330,1310,1231
331,1307,1237
332,1301,1243
333,1307,1245
334,1302,1249
