x_value,total_1,total_2
0,1000,1000
1,997,998
2,1002,1001
3,1008,1007
4,1010,1012
5,1018,1015
6,1024,1010
7,1032,1012
8,1027,1012
9,1027,1016
10,1030,1016
11,1030,1022
12,1038,1021
13,1038,1018
14,1037,1024
15,1035,1029
16,1042,1031
17,1045,1035
18,1047,1041
19,1054,1039
20,1049,1035
21,1053,1038
22,1049,1033
23,1049,1039
24,1052,1043
25,1046,1040
26,1044,1046
27,1047,1044
28,1048,1046
29,1048,1044
30,1054,1042
31,1062,1037
32,1059,1036
33,1058,1033
34,1053,1033
35,1056,1030
36,1063,1033
37,1066,1037
38,1066,1034
39,1074,1029
40,1078,1026
41,1085,1025
42,1085,1026
43,1082,1022
44,1084,1026
45,1090,1025
46,1098,1024
47,1098,1027
48,1092,1023
49,1091,1026
50,1088,1027
51,1088,1025
52,1084,1030
53,1087,1036
54,1093,1038
55,1098,1043
56,1105,1045
57,1105,1046
58,1099,1045
59,1097,1045
60,1097,1044
61,1093,1050
62,1100,1047
63,1100,1052
64,1105,1057
65,1108,1063
66,1112,1069
67,1113,1072
68,1110,1068
69,1115,1069
70,1111,1064
71,1116,1064
72,1112,1066
73,1120,1062
74,1126,1062
75,1122,1058
76,1120,1054
77,1119,1054
78,1116,1051
79,1116,1052
80,1114,1048
81,1109,1049
82,1108,1055
83,1112,1060
